id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
166771,DOWNEY STREET - Victorian Flat,794467,Patti,,Haight Ashbury,37.76827235,-122.4467843,Entire home/apt,185,30,149,10/8/2017,1.9,1,315
168263,San Francisco Charm in Pac Heights,801842,Sheri,,Pacific Heights,37.79086385,-122.4433939,Private room,135,2,29,9/15/2017,0.4,2,354
175090,FINANCIAL DIST: Gino's Cozy Getaway,127367,Annette,,Financial District,37.79018403,-122.4047484,Entire home/apt,110,30,24,7/1/2015,0.31,25,365
175102,FIN. DIST: Mario's Studio Penthouse,127367,Annette,,Financial District,37.7907639,-122.4040296,Entire home/apt,135,30,46,9/12/2017,0.59,25,339
178532,Luxury/Modern 2-story Condo,854264,Ron,,Inner Richmond,37.77556129,-122.4549796,Private room,169,1,104,1/11/2018,1.31,1,357
178740,Gorgeous Spacious Apartment in Unique Mansion,791253,Elizabeth,,Inner Richmond,37.77818014,-122.4542027,Entire home/apt,178,5,105,11/10/2016,1.32,3,31
180212,2 Story Bay Views Penthouse -Top of Telegraph Hill,863351,Greg,,North Beach,37.80269686,-122.4106114,Entire home/apt,750,3,13,12/31/2017,0.24,1,0
183334,2 bedroom Bernal Heights Condo - FABULOUS views!,18732,Cecilia,,Bernal Heights,37.74530647,-122.4112181,Entire home/apt,225,3,6,7/28/2017,0.08,2,0
183859,"Family-Friendly Flat In San Francisco, CA. USA",882283,Stephen,,Glen Park,37.73625672,-122.4367697,Entire home/apt,220,3,157,1/25/2018,2.27,1,280
187730,Bohemian Rhapsody in the Mission,142882,Jessica And Sebouh,,Mission,37.75756728,-122.4193947,Private room,75,3,80,1/23/2018,1.02,4,304
189068,Bernal Heights Live Like a Local,684131,Mary,,Bernal Heights,37.73856392,-122.4168711,Private room,90,2,127,1/11/2018,1.61,2,37
189894,SF  PRIME MARINA LOCATION RENTAL,916362,Jacqueline,,Marina,37.80317808,-122.4297737,Entire home/apt,150,5,27,1/10/2018,0.41,2,147
191632,Private Entrance Garden Studio,583207,Maria,,Haight Ashbury,37.77310912,-122.4497861,Entire home/apt,135,2,326,1/28/2018,4.14,1,204
196090,Nice Bedroom in Spacious House,954250,Mickey,,Bernal Heights,37.73725509,-122.4108111,Private room,85,30,31,12/13/2017,0.4,1,0
199480,One room overlooking Precita Park,974441,Peter,,Bernal Heights,37.74556737,-122.4118731,Private room,90,2,150,12/31/2017,1.91,1,35
201579,Renovated Historic Home,986510,Eric,,Western Addition,37.77755722,-122.4332635,Entire home/apt,250,2,211,1/29/2018,2.7,1,213
203621,Private Lair in Old Gambling Shack,998412,Brian & Katie,,Bayview,37.73522575,-122.3943793,Private room,112,2,336,1/18/2018,4.28,1,64
205842,Potrero Hill Garden Cabana,145258,Kepa,,Potrero Hill,37.76487422,-122.3976267,Entire home/apt,220,1,565,1/28/2018,8.38,4,318
206637,Monthly Shared Home for Students 5,329072,Darren & Friends,,Chinatown,37.79290807,-122.4063746,Shared room,29,30,3,6/30/2017,0.06,17,338
207980,"3 Bdrm City View Home w/Parking, deck,",1023546,Bruce,,Noe Valley,37.74445892,-122.4377567,Entire home/apt,295,2,263,1/11/2018,3.39,1,199
208727,"Full Floor Flat, Priv.Bath Mid-Richmond,",519598,Robert,,Outer Richmond,37.78264839,-122.4897119,Private room,69,30,25,8/31/2017,0.37,1,365
208831,Virtually Your Own Apt in Nth Beach,1028577,Peter,,Russian Hill,37.80242099,-122.4144019,Entire home/apt,165,3,374,1/29/2018,4.83,1,98
209514,Haight Ashbury Experience Room 2,1032643,Josh,,Haight Ashbury,37.77118402,-122.4496256,Private room,92,1,294,1/15/2018,3.77,6,343
211141,Fab City View from Eco Luxury Perch,586226,Jen,,Western Addition,37.78125053,-122.4426149,Entire home/apt,189,3,8,11/10/2015,0.12,1,35
212297,"Modern, bright, sexy Mission flat",681462,Jennifer,,Mission,37.7674576,-122.4232362,Private room,120,3,127,10/17/2017,1.87,1,337
212783,Haight Ashbury Experience Room 1,1032643,Josh,,Haight Ashbury,37.77107886,-122.4494184,Private room,98,2,281,1/20/2018,3.61,6,348
213216,"Central, Elegant Mediterranean Garden Home",465520,Saundra,,Castro/Upper Market,37.76801054,-122.4366624,Entire home/apt,525,4,31,10/9/2017,0.41,3,119
213532,Haight Ashbury Experience Room 4,1032643,Josh,,Haight Ashbury,37.77084767,-122.4481135,Private room,78,2,309,1/18/2018,3.98,6,325
216042,Bernal Heights Views Garden Hottub,1115353,Jocelyn,,Bernal Heights,37.74382383,-122.4177267,Entire home/apt,147,5,48,6/26/2017,0.62,1,106
218567,Balcony on Fillmore Street +Parking,1130612,Marin,,Western Addition,37.78594365,-122.4321929,Entire home/apt,240,30,86,1/13/2018,1.11,1,266
220418,Haight Ashbury Experience Room 3,1032643,Josh,,Haight Ashbury,37.7704207,-122.4501926,Private room,78,2,283,1/21/2018,3.64,6,358
221342,View Penthouse Master Suite & Decks,285168,Bill,,Russian Hill,37.802811,-122.4153959,Private room,139,2,126,1/14/2018,1.62,4,55
224579,Beautiful luxury house w/ Deck,1168946,Armelle,,Mission,37.75631937,-122.404779,Entire home/apt,145,2,40,1/29/2018,0.52,1,53
224671,"Modern 2Bd, 2Ba Downtown Apartment",1169566,Shirley,,Downtown/Civic Center,37.77653321,-122.4187758,Entire home/apt,300,365,10,8/9/2016,0.41,1,180
