id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
545685,Garden Suite Private Bathrm GGPark,2676602,Su,,Outer Richmond,37.77619017,-122.4823081,Entire home/apt,79,1,559,3/25/2018,7.95,2,26
748256,Valencia Corridor Center Of It All!,516404,Michael And Yesica,,Mission,37.75495392,-122.4168309,Private room,120,1,506,4/1/2018,7.69,2,316
625655,Sunny San Francisco Bed & Bath,2823146,Brigitte,,Outer Mission,37.72722571,-122.439151,Private room,99,3,137,3/17/2018,2.55,1,192
21625713,Private 1 bed+bath super close to Muni,85774793,Shan,,Lakeshore,37.72848164,-122.4730094,Entire home/apt,120,2,5,3/22/2018,1.01,1,98
20652378,World traveler coliving,21940642,Alex,,Crocker Amazon,37.71206306,-122.4389605,Shared room,0,3,4,2/16/2018,0.6,7,165
23551722,Stratford Hotel Room Full,173206762,Stratford,,Downtown/Civic Center,37.78635597,-122.408605,Private room,69,1,0,,,63,1
12186884,Spacious sunny 3BD Golden Gate park house,627144,Sabrina,,Inner Sunset,37.76054113,-122.4677845,Entire home/apt,100,30,6,12/31/2017,0.25,1,212
15760768,"Modern, spacious 2BR with Spectacular Views",101905057,William,,Ocean View,37.70772173,-122.4635901,Entire home/apt,200,3,13,11/28/2017,0.76,1,0
21045694,Modern & Convenient Studio - Walk to BART & Muni,30506212,Gordon,,Crocker Amazon,37.71446013,-122.4422267,Entire home/apt,71,1,27,4/4/2018,4.15,1,6
22528452,Dorm Room with Private Bathroom,100390518,Herbert,,Downtown/Civic Center,37.78545928,-122.4088318,Private room,75,21,0,,,1,344
23312854,Stratford Hotel Room Queen,173206762,Stratford,,Downtown/Civic Center,37.78676345,-122.4069211,Private room,79,1,0,,,63,4
7564371,Bright 2BR Flat in Russian Hill,39658961,Miranda,,Russian Hill,37.7970348,-122.4186052,Entire home/apt,275,4,14,2/19/2018,0.45,1,12
23313200,Stratford Hotel Room Queen,173206762,Stratford,,Downtown/Civic Center,37.78821226,-122.4074666,Private room,79,1,0,,,63,4
5195922,Spacious Private Room in SF,26653520,Annie,,Crocker Amazon,37.71052308,-122.446453,Private room,99,2,13,3/17/2018,0.41,6,59
3262216,"Lovingly remodeled Edwardian, convenient location",6951329,Katie & Brandon,,Outer Mission,37.73153554,-122.4351498,Entire home/apt,360,2,3,7/14/2014,0.07,1,4
19417708,Quality Prv Entire Apt 2Br/2Ba Prv Entry w Parking,62034618,Ting Ting,,Lakeshore,37.7304771,-122.4920993,Entire home/apt,160,1,18,3/18/2018,2.1,3,202
4305042,The Perfect SF Getaway,22347599,Joel & Mel,,West of Twin Peaks,37.74301451,-122.4592087,Entire home/apt,189,2,110,3/26/2018,2.77,1,58
23454935,Queen bedroom in Cole Valley/Haight St area,1886735,David,,Haight Ashbury,37.76895517,-122.4471341,Private room,90,2,2,3/19/2018,2,3,181
19140351,"Bright 2BR retreat steps from
Golden Gate Park!",3773599,Lawrence,,Inner Richmond,37.77408777,-122.4715388,Entire home/apt,275,3,17,3/27/2018,2.12,1,28
23377863,"Connected Queen Bed Suites, 1-4 Guests, Superhost!",11609628,Isaac,,Lakeshore,37.7333073,-122.4922898,Entire home/apt,174,1,2,3/21/2018,2,5,231
4462326,"Cozy, Quite Noe Valley Victorian",18151037,Valerie,,Noe Valley,37.75362843,-122.4370618,Private room,105,2,70,3/16/2018,1.8,9,232
4841027,Cozy Bedroom in Warm Home,1665158,Jason,,Outer Mission,37.73056158,-122.4517596,Private room,95,2,109,3/24/2018,3.06,1,108
13866653,Entire Floor w/ Private Bath + Free parking,1483039,Adam,,Excelsior,37.72658563,-122.4172923,Entire home/apt,120,2,111,3/19/2018,5.22,2,17
12590446,Rockin' Room in the Sunset,16463339,Sergei,,Parkside,37.74563031,-122.4715561,Private room,120,2,73,4/5/2018,3.16,2,79
8055632,Guest Room in Renovated Apartment,11886896,Emanuel,,Visitacion Valley,37.71296997,-122.4005301,Private room,100,2,113,3/25/2018,3.56,4,27
24230540,Cozy room with a view  (Third Floor Rm 1),161356867,Charlie,,Inner Sunset,37.76361538,-122.4545287,Private room,90,1,0,,,6,48
17576074,Comfy Bedroom in San Francisco ❤️,40297300,Igor,,Bayview,37.72859014,-122.371805,Private room,75,1,32,3/30/2018,3.09,4,172
21478380,Chic apartment in heart of Haight / Cole Valley,83585377,Miles,,Haight Ashbury,37.76732566,-122.4502364,Entire home/apt,125,2,10,3/26/2018,1.96,1,102
23787185,two twin beds in #1 usa hangout valencia street,54515423,Elliot,,Mission,37.77018413,-122.4231209,Private room,85,1,0,,,3,25
15860973,Beautiful Mission 3BR / 2BA - 1 block to BART!,6136360,Jeff,,Mission,37.75126604,-122.4149382,Entire home/apt,337,2,4,12/26/2017,0.49,4,1
13803228,Fab Mid-Century Master Suite,79745762,Troy,,Diamond Heights,37.74608157,-122.4444017,Private room,140,2,18,11/10/2017,0.95,1,18
12383404,Cute Noe Valley Apartment,864647,Tara,,Noe Valley,37.75105043,-122.44187,Entire home/apt,189,4,23,1/18/2018,0.97,1,297
23312670,Stratford Hotel Room Full,173206762,Stratford,,Downtown/Civic Center,37.78778509,-122.4084739,Private room,79,1,0,,,63,0
23552149,Stratford Hotel Room Full,173206762,Stratford,,Downtown/Civic Center,37.78620084,-122.4084752,Private room,69,1,1,3/21/2018,1,63,0
23551138,Stratford Hotel Room Full,173206762,Stratford,,Downtown/Civic Center,37.78803442,-122.4077018,Private room,69,1,0,,,63,0
23292785,Stratford Hotel Room Queen,173206762,Stratford,,Downtown/Civic Center,37.78670507,-122.4068369,Private room,79,1,1,3/11/2018,1,63,2
23552081,Stratford Hotel Room Full,173206762,Stratford,,Downtown/Civic Center,37.78622828,-122.4070171,Private room,69,1,1,3/11/2018,1,63,6
23611401,Stratford Hotel Twin/Twin,173206762,Stratford,,Downtown/Civic Center,37.78725726,-122.4091317,Private room,75,1,0,,,63,5
23312568,Stratford Hotel Room Full,173206762,Stratford,,Downtown/Civic Center,37.78663277,-122.4085188,Private room,79,1,1,3/17/2018,1,63,0
74758, Mission Outr Rustic Pvt Bedroom ,305973,Maria,,Excelsior,37.73137082,-122.4253181,Private room,42,30,31,6/4/2017,0.36,11,341
